AREA_CODE,year,count
E08000025,2016,164004
E08000026,2016,55163
E08000027,2016,71088
E08000028,2016,54621
E08000029,2016,49155
E08000030,2016,54989
E08000031,2016,47994
E08000025,2017,158419.16575000001
E08000026,2017,53438.4495
E08000027,2017,69001.818
E08000028,2017,52688.7625
E08000029,2017,47845.67825
E08000030,2017,53273.12175
E08000031,2017,46475.95925
E08000025,2018,153098.4845
E08000026,2018,51778.0845
E08000027,2018,66966.1145
E08000028,2018,50839.05
E08000029,2018,46575.9845
E08000030,2018,51606.632
E08000031,2018,45010.5875
E08000025,2019,147860.7265
E08000026,2019,50130.02275
E08000027,2019,64945.40775
E08000028,2019,49035.564
E08000029,2019,45317.40225
E08000030,2019,49938.13125
E08000031,2019,43557.261
E08000025,2020,142731.424
E08000026,2020,48501.513
E08000027,2020,62922.897
E08000028,2020,47260.687
E08000029,2020,44078.74
E08000030,2020,48254.791
E08000031,2020,42124.21
E08000025,2021,144277.832
E08000026,2021,49025.763
E08000027,2021,63396.289000000004
E08000028,2021,47762.514
E08000029,2021,44465.342000000004
E08000030,2021,48553.973
E08000031,2021,42430.173
E08000025,2022,145832.309
E08000026,2022,49648.284
E08000027,2022,63984.265
E08000028,2022,48206.288
E08000029,2022,44848.121
E08000030,2022,48994.347
E08000031,2022,42880.189
E08000025,2023,147839.387
E08000026,2023,50246.245
E08000027,2023,64590.112
E08000028,2023,48817.417
E08000029,2023,45340.234
E08000030,2023,49432.681
E08000031,2023,43376.072
E08000025,2024,150105.272
E08000026,2024,50968.105
E08000027,2024,65205.871
E08000028,2024,49460.079
E08000029,2024,45974.255
E08000030,2024,50026.128
E08000031,2024,43946.789
E08000025,2025,152486.698
E08000026,2025,51814.132
E08000027,2025,65856.895
E08000028,2025,50256.212999999996
E08000029,2025,46675.996
E08000030,2025,50569.226
E08000031,2025,44571.304
E08000025,2026,155122.003
E08000026,2026,52645.993
E08000027,2026,66539.692
E08000028,2026,50984.322
E08000029,2026,47388.071
E08000030,2026,51175.043
E08000031,2026,45251.46
E08000025,2027,152900.403
E08000026,2027,51963.432
E08000027,2027,65490.4965
E08000028,2027,50270.3625
E08000029,2027,46865.2525
E08000030,2027,50433.068999999996
E08000031,2027,44667.854999999996
E08000025,2028,150631.336
E08000026,2028,51258.447
E08000027,2028,64413.178
E08000028,2028,49537.715
E08000029,2028,46317.757
E08000030,2028,49670.298
E08000031,2028,44072.352
E08000025,2029,154087.541
E08000026,2029,52258.163
E08000027,2029,65534.3
E08000028,2029,50655.156
E08000029,2029,47277.501
E08000030,2029,50661.704
E08000031,2029,44998.282999999996
E08000025,2030,157491.517
E08000026,2030,53336.85
E08000027,2030,66554.984
E08000028,2030,51706.693
E08000029,2030,48099.401
E08000030,2030,51590.605
E08000031,2030,45949.115
E08000025,2031,160870.772
E08000026,2031,54325.786
E08000027,2031,67723.238
E08000028,2031,53062.595
E08000029,2031,48976.15
E08000030,2031,52570.322
E08000031,2031,46895.96
E08000025,2032,164302.731
E08000026,2032,55327.743
E08000027,2032,68948.491
E08000028,2032,54334.119
E08000029,2032,49869.503
E08000030,2032,53462.422
E08000031,2032,47885.501
E08000025,2033,167694.57
E08000026,2033,56357.992
E08000027,2033,69962.82
E08000028,2033,55570.698000000004
E08000029,2033,50723.896
E08000030,2033,54435.619
E08000031,2033,48909.762
E08000025,2034,170972.23
E08000026,2034,57447.243
E08000027,2034,71111.251
E08000028,2034,56832.788
E08000029,2034,51360.4
E08000030,2034,55356.411
E08000031,2034,49865.423
E08000025,2035,174308.66
E08000026,2035,58550.25
E08000027,2035,72213.35
E08000028,2035,58108.824
E08000029,2035,52040.829
E08000030,2035,56269.157
E08000031,2035,50760.405
E08000025,2036,177454.268
E08000026,2036,59537.556
E08000027,2036,73280.858
E08000028,2036,59361.776
E08000029,2036,52851.44
E08000030,2036,57200.975
E08000031,2036,51664.728
E08000025,2037,180546.15
E08000026,2037,60475.396
E08000027,2037,74316.534
E08000028,2037,60578.764
E08000029,2037,53446.551
E08000030,2037,58121.069
E08000031,2037,52602.029
E08000025,2038,178077.43
E08000026,2038,59613.0265
E08000027,2038,73217.535
E08000028,2038,59774.2335
E08000029,2038,52713.345
E08000030,2038,57320.483
E08000031,2038,52003.9445
E08000025,2039,175494.315
E08000026,2039,58719.304000000004
E08000027,2039,72091.919
E08000028,2039,58927.947
E08000029,2039,51958.893
E08000030,2039,56492.775
E08000031,2039,51371.094
E08000025,2040,178072.261
E08000026,2040,59546.394
E08000027,2040,72884.013
E08000028,2040,59856.765
E08000029,2040,52456.336
E08000030,2040,57280.921
E08000031,2040,52126.373
E08000025,2041,180136.211
E08000026,2041,60244.028
E08000027,2041,73325.098
E08000028,2041,60704.684
E08000029,2041,52798.061
E08000030,2041,57780.928
E08000031,2041,52757.969
